,index,Name of Affected Feeder,BUSINESS HUB,LGA,Voltage(kV),distances_trs,distances_pp,socioeconomic_vulnerability
0,0,OSOGBOTOWNSHIP33KV,"['OSOGBO', 'IKIRUN']",OSOGBO,33,5.198840545515431,58.955654944205136,1.106082
1,1,IBOKUN33KV,ILESA,OBOKUN,33,12.543236354652638,97.61218133789848,2.582989
2,2,EFONOSU33KV,ILESA,OROLU,33,10.256395621188627,73.20090866153713,2.025498
3,3,OKUKU33KVLEG,IKIRUN,ODOOTIN,33,26.35727500336342,99.43747463131109,2.330592
4,4,IWOEJIGBO33KVFEEDER,EDE,EJIGBO,33,12.950325836154075,51.85295850722194,2.442089
5,5,EDEWATERWORKS33KVFEEDER,EDE,EDESOUTH,33,7.28388369056837,58.480994615429054,2.056106
6,6,IJEBUJESA33KVFEEDER,ILESA,ORIADE,33,21.115396693087092,105.0391983131983,2.445408
7,7,IPETUJESA33KV,ILESA,ORIADE,33,21.115396693087092,105.0391983131983,2.445408
8,8,SEKONAIKIREWASINMI33KV,ILEIFE,IREWOLE,33,23.49750236686396,35.68421398345696,1.653388
9,9,POWERLINE33KV,OSOGBO,OSOGBO,33,5.198840545515431,58.955654944205136,1.106082
10,10,OSOGBOIKIRUN33KVFDR,IKIRUN,IFELODUN,33,18.21626265243785,94.01357562245542,1.766592
11,11,OKUKU33KVFDR,IKIRUN,ODOOTIN,33,26.35727500336342,99.43747463131109,2.330592
12,12,ILEIFETOWNSHIP33KV,ILEIFE,IFECENTRAL,33,2.1857585724989432,67.82998298012649,1.517216
13,13,ORILEOWU33KV,ILEIFE,AYEDADE,33,30.631079615958697,49.6536526035672,2.309215
14,14,SRM33KV,OSOGBO,OSOGBO,33,5.198840545515431,58.955654944205136,1.106082
15,15,OKUKU33KVBREAKER,IKIRUN,ODOOTIN,33,26.35727500336342,99.43747463131109,2.330592
16,16,OAU33KV,ILEIFE,IFECENTRAL,33,2.1857585724989432,67.82998298012649,1.517216
17,17,NMT33KV,OSOGBO,OSOGBO,33,5.198840545515431,58.955654944205136,1.106082
18,18,PRISM33KVFDR,IKIRUN,IFELODUN,33,18.21626265243785,94.01357562245542,1.766592
19,19,ILESA33KV,ILESA,ILESHAEAST,33,7.663910983918651,93.62114710088962,1.69159
20,20,RABSIH,EDE,IWO,33,4.726507143921614,34.707075307275964,1.666194
21,21,IRONANDSTEEL,ILEIFE,IFECENTRAL,33,2.1857585724989432,67.82998298012649,1.517216
22,22,BOWEN33KVFEEDER,EDE,IWO,33,4.726507143921614,34.707075307275964,1.666194
23,23,IPETU33KV,ILESA,ORIADE,33,21.115396693087092,105.0391983131983,2.445408
24,24,BREWERY33KV,ILESA,ILESHAWEST,33,1.3727392213646328,88.76981269752815,1.169789
25,25,IPETUIJEBU33KV,ILESA,ORIADE,33,21.115396693087092,105.0391983131983,2.445408
26,26,IPETUIJEBUJESA33KV,ILESA,ORIADE,33,21.115396693087092,105.0391983131983,2.445408
27,27,1D,EDCEF,UNSURE,33,,,
28,0,IGBONA11KV,OSOGBO,OLORUNDA,11,8.152934768027965,79.97511328028727,1.418021
29,1,NCC11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
30,2,OLUODE11KV,OSOGBO,IFELODUN,11,18.21626265243785,94.01357562245542,1.766592
31,3,AYEPE11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
32,4,GRAOSOGBO11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
33,5,DADAESTATEPRIME11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
34,6,GBONGAN11KV,"['ILEIFE', 'OSOGBO']",AYEDADE,11,30.631079615958697,49.6536526035672,2.309215
35,7,IPETUILE11KVFDR,IKIRUN,ORIADE,11,21.115396693087092,105.0391983131983,2.445408
36,8,IKIRUNTOWNSHIP11KVFDR,IKIRUN,IFELODUN,11,18.21626265243785,94.01357562245542,1.766592
37,9,COTTAGE11KVFEEDER,EDE,EDESOUTH,11,7.28388369056837,58.480994615429054,2.056106
38,10,IFEODAN11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
39,11,IWOTOWNSHIP11KVFEEDER,EDE,IWO,11,4.726507143921614,34.707075307275964,1.666194
40,12,ILAJE11KV,ILESA,ILESHAWEST,11,1.3727392213646328,88.76981269752815,1.169789
41,13,IRETIAYO11KV,ILESA,ORIADE,11,21.115396693087092,105.0391983131983,2.445408
42,14,OMIASORO11KV,ILESA,ILESHAWEST,11,1.3727392213646328,88.76981269752815,1.169789
43,15,ISARE11KV,ILESA,ILESHAEAST,11,7.663910983918651,93.62114710088962,1.69159
44,16,PALACE11KV,ILESA,ILESHAEAST,11,7.663910983918651,93.62114710088962,1.69159
45,17,IWOYE11KV,ILESA,ORIADE,11,21.115396693087092,105.0391983131983,2.445408
46,18,LAGERE11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
47,19,OPA11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
48,20,IKIREAPOMU11KV,"['ILEIFE', 'IKIRUN']",ISOKAN,11,37.145070141324695,39.074316536861375,1.759107
49,21,ORONAITAOSA11KV,ILEIFE,IFEEAST,11,6.496434311342904,72.82571458791959,1.439059
50,22,FAMIARD11KV,ILEIFE,IFEEAST,11,6.496434311342904,72.82571458791959,1.439059
51,23,MOKURORD11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
52,24,EDUNABONIPETUMODU11KV,ILEIFE,IFENORTH,11,14.28105839027694,60.02018295618448,2.371403
53,25,IBADANRD11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
54,26,PARAKIN11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
55,27,ITAMERIN11KV,ILEIFE,ATAKUNMOSAWEST,11,10.273566814387484,80.3760028965489,2.654399
56,28,WONDERFUL11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
57,29,EDETOWNSHIP11KVFEEDER,EDE,EDENORTH,11,5.055741230655569,66.05504360092648,1.421128
58,30,ODOORI,EDE,IWO,11,4.726507143921614,34.707075307275964,1.666194
59,31,EJIGBOTOWNSHIP11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
60,32,IROGBO11KV,ILESA,ILESHAEAST,11,7.663910983918651,93.62114710088962,1.69159
61,33,AKEJU11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
62,34,OKUKU11KVTOWNSHIPFDR,IKIRUN,ODOOTIN,11,26.35727500336342,99.43747463131109,2.330592
63,35,ILA11KVFDR,IKIRUN,ILA,11,39.99391853625237,119.4503715264345,2.130945
64,36,ILATOWNSHIP11KVFDR,IKIRUN,ILA,11,39.99391853625237,119.4503715264345,2.130945
65,37,ODEOMU,ILEIFE,AYEDADE,11,30.631079615958697,49.6536526035672,2.309215
66,38,OAUTHC11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
67,39,OKUKU11KVFDR,IKIRUN,ODOOTIN,11,26.35727500336342,99.43747463131109,2.330592
68,40,IBOKUN11KV,ILESA,OBOKUN,11,12.543236354652638,97.61218133789848,2.582989
69,41,IGBAYE11KVFDR,IKIRUN,ODOOTIN,11,26.35727500336342,99.43747463131109,2.330592
70,42,IKIRUN11KVFDR,"['IKIRUN', 'OSOGBO']",IFELODUN,11,18.21626265243785,94.01357562245542,1.766592
71,43,OBELAWO11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
72,44,TOWNSHIP11KVFDR,IKIRUN,IFELODUN,11,18.21626265243785,94.01357562245542,1.766592
73,45,OKEOGBUN11KVFDR,IKIRUN,ILA,11,39.99391853625237,119.4503715264345,2.130945
74,46,IFEODANTOWNSHIP11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
75,47,GRA11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
76,48,MOUNTCARMEL11KV,ILESA,ATAKUNMOSAWEST,11,10.273566814387484,80.3760028965489,2.654399
77,49,EJIGBO11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
